,0,1,2,3
920,pleasant,0.0,1.0,0.5106
1013,honest,0.0,1.0,0.5106
1022,nicest,0.0,1.0,0.4939
1032,astound,0.0,1.0,0.4019
1046,forget,1.0,0.0,-0.2263
1083,grand,0.0,1.0,0.4588
1092,laugh,0.0,1.0,0.5574
1109,chic,0.0,1.0,0.2732
1132,won,0.0,1.0,0.5719
1148,matter,0.0,1.0,0.0258
1177,chaotic,1.0,0.0,-0.4939
1202,glad,0.0,1.0,0.4588
1205,joke,0.0,1.0,0.296
1231,fit,0.0,1.0,0.3612
1241,attract,0.0,1.0,0.3612
1290,trust,0.0,1.0,0.5106
1316,greatest,0.0,1.0,0.6369
1361,nicer,0.0,1.0,0.4404
1362,friendlier,0.0,1.0,0.4588
1378,forgotten,1.0,0.0,-0.2263
1388,gift,0.0,1.0,0.4404
1407,talent,0.0,1.0,0.4215
1463,lower,1.0,0.0,-0.296
1475,ok,0.0,1.0,0.296
1478,lack,1.0,0.0,-0.3182
1497,fan,0.0,1.0,0.3182
1498,complaint,1.0,0.0,-0.296
1591,lover,0.0,1.0,0.5859
1647,casual,0.0,1.0,0.2023
1663,ideal,0.0,1.0,0.5267
1723,admit,0.0,1.0,0.2023
1764,dear,0.0,1.0,0.3818
1770,ill,1.0,0.0,-0.4215
1778,save,0.0,1.0,0.4939
1793,die,1.0,0.0,-0.5994
1809,thoughtful,0.0,1.0,0.3818
1827,enthusiast,0.0,1.0,0.3612
1837,hurt,1.0,0.0,-0.5267
1859,keen,0.0,1.0,0.3612
1879,dump,1.0,0.0,-0.3818
1880,stolen,1.0,0.0,-0.4939
1883,blame,1.0,0.0,-0.34
1884,threaten,1.0,0.0,-0.3818
1886,coward,1.0,0.0,-0.4588
1889,fault,1.0,0.0,-0.4019
1953,helpful,0.0,1.0,0.4215
1979,grandeur,0.0,1.0,0.5267
2026,superior,0.0,1.0,0.5423
2038,compliment,0.0,1.0,0.4767
2045,commend,0.0,1.0,0.4404
2054,friendship,0.0,1.0,0.4404
2060,heaven,0.0,1.0,0.5106
2081,beaten,1.0,0.0,-0.4215
2153,enthusiasm,0.0,1.0,0.4404
2164,retreat,0.0,1.0,0.2023
2259,bore,1.0,0.0,-0.25
2268,haunt,1.0,0.0,-0.4019
2356,accident,1.0,0.0,-0.4767
2357,wrong,1.0,0.0,-0.4767
2384,snob,1.0,0.0,-0.4588
2414,l,0.0,1.0,0.4588
2424,safer,0.0,1.0,0.4215
2430,marvel,0.0,1.0,0.4215
2488,humor,0.0,1.0,0.2732
2555,commit,0.0,1.0,0.296
2564,trick,1.0,0.0,-0.0516
2577,grace,0.0,1.0,0.4215
2579,gracious,0.0,1.0,0.5574
2715,exhaust,1.0,0.0,-0.296
2718,clever,0.0,1.0,0.4588
2875,success,0.0,1.0,0.5719
2911,cherish,0.0,1.0,0.3818
2916,warmest,0.0,1.0,0.4019
2945,suffer,1.0,0.0,-0.5423
2964,strong,0.0,1.0,0.5106
